"http://www.votesmart.org/issue_rating_detail.php?r_id=3081&rtype=R",,,,,,
"NY","U.S. House",22,"Maurice Hinchey",,"Democratic",100
"NY","U.S. House",23,"John McHugh",,"Republican",7
"NY","U.S. House",25,"James Walsh",,"Republican",27
"NY","U.S. House",26,"Thomas Reynolds",,"Republican",0
"NY","U.S. House",28,"Louise Slaughter",,"Democratic",100
"OH","U.S. Senate","Sr","George Voinovich",,"Republican",0
"OH","U.S. Senate","Jr","Sherrod Brown",,"Democratic",100
"OH","U.S. House",3,"Michael Turner",,"Republican",7
"OH","U.S. House",7,"David Lee Hobson",,"Republican",7
"OH","U.S. House",8,"John Boehner",,"Republican",7
"OH","U.S. House",9,"Marcy Kaptur",,"Democratic",100
"OH","U.S. House",10,"Dennis Kucinich",,"Democratic",100
"OH","U.S. House",12,"Patrick Tiberi",,"Republican",0
"OH","U.S. House",14,"Steven LaTourette",,"Republican",7
"OH","U.S. House",16,"Ralph Regula",,"Republican",13
"OH","U.S. House",17,"Timothy Ryan",,"Democratic",93
"OH","Governor","","Ted Strickland",,"Democratic",87
"OK","U.S. Senate","Sr","James Inhofe",,"Republican",0
"OK","U.S. House",1,"John Sullivan",,"Republican",7
"OK","U.S. House",3,"Frank Lucas",,"Republican",7
"OR","U.S. Senate","Sr","Ron Wyden",,"Democratic",73
"OR","U.S. Senate","Jr","Gordon Harold Smith",,"Republican",18
"OR","U.S. House",1,"David Wu",,"Democratic",93
"OR","U.S. House",2,"Greg Walden",,"Republican",7
"OR","U.S. House",4,"Peter DeFazio",,"Democratic",93
"OR","U.S. House",5,"Darlene Hooley",,"Democratic",93
"PA","U.S. Senate","Sr","Arlen Specter",,"Republican",27
"PA","U.S. House",3,"Philip English",,"Republican",20
"PA","U.S. House",6,"Jim Gerlach",,"Republican",47
"PA","U.S. House",9,"Bill Shuster",,"Republican",7
"PA","U.S. House",11,"Paul Kanjorski",,"Democratic",67
"PA","U.S. House",12,"John Murtha",,"Democratic",60
"PA","U.S. House",14,"Michael Doyle",,"Democratic",87
"PA","U.S. House",17,"Tim Holden",,"Democratic",73
"PA","U.S. House",18,"Tim Murphy",,"Republican",7
"PA","U.S. House",19,"Todd Platts",,"Republican",13
"RI","U.S. Senate","Sr","John Reed",,"Democratic",100
"RI","U.S. House",1,"Patrick Kennedy",,"Democratic",100
"RI","U.S. House",2,"James Langevin",,"Democratic",100
"SC","U.S. Senate","Sr","Lindsey Graham",,"Republican",0
"SC","U.S. House",1,"Henry Brown",,"Republican",7
"SC","U.S. House",2,"Addison Wilson",,"Republican",0
"SC","U.S. House",3,"J. Gresham Barrett",,"Republican",0
"SC","U.S. House",5,"John Spratt",,"Democratic",87
"SC","U.S. House",6,"James Clyburn",,"Democratic",93
"SD","U.S. Senate","Sr","Tim Johnson",,"Democratic",64
"TN","U.S. Senate","Sr","Lamar Alexander",,"Republican",0
"TN","U.S. House",2,"John Duncan",,"Republican",13
"TN","U.S. House",3,"Zach Wamp",,"Republican",7
"TN","U.S. House",5,"Jim Cooper",,"Democratic",93
"TN","U.S. House",7,"Marsha Blackburn",,"Republican",7
"TN","U.S. House",8,"John Tanner",,"Democratic",40
"TX","U.S. Senate","Sr","Kay Hutchison",,"Republican",0
"TX","U.S. Senate","Jr","John Cornyn",,"Republican",0
"TX","U.S. House",4,"Ralph Hall",,"Republican",13
"TX","U.S. House",5,"Jeb Hensarling",,"Republican",0
"TX","U.S. House",7,"John Culberson",,"Republican",0
"TX","U.S. House",8,"Kevin Brady",,"Republican",7
"TX","U.S. House",15,"Rubén Hinojosa",,"Democratic",73
"TX","U.S. House",16,"Silvestre Reyes",,"Democratic",67
"TX","U.S. House",17,"Thomas Edwards",,"Democratic",33
"TX","U.S. House",20,"Charles Gonzalez",,"Democratic",93
"TX","U.S. House",21,"Lamar Smith",,"Republican",0
"TX","U.S. House",25,"Lloyd Doggett",,"Democratic",100
"TX","U.S. House",27,"Solomon Ortiz",,"Democratic",47
"TX","U.S. House",29,"Raymond Green",,"Democratic",67
"TX","U.S. House",30,"Eddie Bernice Johnson",,"Democratic",100
"TX","U.S. House",32,"Peter Sessions",,"Republican",0
"UT","U.S. Senate","Sr","Orrin Hatch",,"Republican",0
"UT","U.S. Senate","Jr","Robert Bennett",,"Republican",0
"UT","U.S. House",1,"Rob Bishop",,"Republican",7
"UT","U.S. House",2,"Jim Matheson",,"Democratic",53
"UT","U.S. House",3,"Chris Cannon",,"Republican",0
"VA","U.S. House",3,"Robert Scott",,"Democratic",100
"VA","U.S. House",4,"James Randy Forbes",,"Republican",7
"VA","U.S. House",5,"Virgil Goode",,"Republican",13
"VA","U.S. House",6,"Robert Goodlatte",,"Republican",7
"VA","U.S. House",7,"Eric Cantor",,"Republican",0
"VA","U.S. House",10,"Frank Wolf",,"Republican",20
"VT","U.S. Senate","Sr","Patrick Leahy",,"Democratic",100
"VT","U.S. Senate","Jr","Bernard Sanders",,"Independent",80
"WA","U.S. Senate","Sr","Patty Murray",,"Democratic",91
"WA","U.S. Senate","Jr","Maria Cantwell",,"Democratic",100
"WA","U.S. House",1,"Jay Inslee",,"Democratic",100
"WA","U.S. House",2,"Rick Larsen",,"Democratic",93
"WA","U.S. House",3,"Brian Baird",,"Democratic",93
"WA","U.S. House",4,"Doc Hastings",,"Republican",7
"WA","U.S. House",6,"Norman Dicks",,"Democratic",100
"WA","U.S. House",7,"James McDermott",,"Democratic",100
"WA","U.S. House",9,"Adam Smith",,"Democratic",100
"WI","U.S. Senate","Sr","Herbert Kohl",,"Democratic",91
"WI","U.S. Senate","Jr","Russell Feingold",,"Democratic",91
"WI","U.S. House",1,"Paul Ryan",,"Republican",13
